The Shawshank Redemption,1994.0,142 min,Drama,9.3,Tim Robbins,Morgan Freeman,William Sadler
The Godfather,1972.0,175 min,"Crime, Drama",9.2,Marlon Brando,Al Pacino,Diane Keaton
The Dark Knight,2008.0,152 min,"Action, Crime, Drama",9.0,Christian Bale,Heath Ledger,Michael Caine
The Godfather: Part II,1974.0,202 min,"Crime, Drama",9.0,Al Pacino,Robert De Niro,Diane Keaton
12 Angry Men,1957.0,96 min,"Crime, Drama",9.0,Henry Fonda,Lee J. Cobb,John Fiedler
The Lord of the Rings: The Return of the King,2003.0,201 min,"Action, Adventure, Drama",8.9,Elijah Wood,Viggo Mortensen,Orlando Bloom
Pulp Fiction,1994.0,154 min,"Crime, Drama",8.9,John Travolta,Uma Thurman,Bruce Willis
Schindler's List,1993.0,195 min,"Biography, Drama, History",8.9,Liam Neeson,Ralph Fiennes,Caroline Goodall
Inception,2010.0,148 min,"Action, Adventure, Sci-Fi",8.8,Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe
Fight Club,1999.0,139 min,Drama,8.8,Brad Pitt,Edward Norton,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,2001.0,178 min,"Action, Adventure, Drama",8.8,Elijah Wood,Ian McKellen,Sean Bean
Forrest Gump,1994.0,142 min,"Drama, Romance",8.8,Tom Hanks,Robin Wright,Sally Field
"Il buono, il brutto, il cattivo",1966.0,161 min,Western,8.8,Clint Eastwood,Eli Wallach,Aldo Giuffrè
The Lord of the Rings: The Two Towers,2002.0,179 min,"Action, Adventure, Drama",8.7,Elijah Wood,Ian McKellen,Orlando Bloom
The Matrix,1999.0,136 min,"Action, Sci-Fi",8.7,Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss
Goodfellas,1990.0,146 min,"Biography, Crime, Drama",8.7,Robert De Niro,Ray Liotta,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,1980.0,124 min,"Action, Adventure, Fantasy",8.7,Mark Hamill,Harrison Ford,Billy Dee Williams
One Flew Over the Cuckoo's Nest,1975.0,133 min,Drama,8.7,Jack Nicholson,Louise Fletcher,Peter Brocco
Hamilton,2020.0,160 min,"Biography, Drama, History",8.6,Lin-Manuel Miranda,Phillipa Soo,Renée Elise Goldsberry
Gisaengchung,2019.0,132 min,"Comedy, Drama, Thriller",8.6,Kang-ho Song,Lee Sun-kyun,Choi Woo-sik
Soorarai Pottru,2020.0,153 min,Drama,8.6,Suriya,Madhavan,Aparna Balamurali
Interstellar,2014.0,169 min,"Adventure, Drama, Sci-Fi",8.6,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Cidade de Deus,2002.0,130 min,"Crime, Drama",8.6,Kátia Lund,Alexandre Rodrigues,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,2001.0,125 min,"Animation, Adventure, Family",8.6,Daveigh Chase,Suzanne Pleshette,Rumi Hiiragi
Saving Private Ryan,1998.0,169 min,"Drama, War",8.6,Tom Hanks,Matt Damon,Edward Burns
The Green Mile,1999.0,189 min,"Crime, Drama, Fantasy",8.6,Tom Hanks,Michael Clarke Duncan,Bonnie Hunt
La vita è bella,1997.0,116 min,"Comedy, Drama, Romance",8.6,Roberto Benigni,Nicoletta Braschi,Giustino Durano
Se7en,1995.0,127 min,"Crime, Drama, Mystery",8.6,Morgan Freeman,Brad Pitt,Andrew Kevin Walker
The Silence of the Lambs,1991.0,118 min,"Crime, Drama, Thriller",8.6,Jodie Foster,Anthony Hopkins,Kasi Lemmons
Star Wars,1977.0,121 min,"Action, Adventure, Fantasy",8.6,Mark Hamill,Harrison Ford,Alec Guinness
Seppuku,1962.0,133 min,"Action, Drama, Mystery",8.6,Tatsuya Nakadai,Akira Ishihama,Tetsurô Tanba
Shichinin no samurai,1954.0,207 min,"Action, Adventure, Drama",8.6,Toshirô Mifune,Takashi Shimura,Yukiko Shimazaki
It's a Wonderful Life,1946.0,130 min,"Drama, Family, Fantasy",8.6,James Stewart,Donna Reed,Thomas Mitchell
Joker,2019.0,122 min,"Crime, Drama, Thriller",8.5,Joaquin Phoenix,Robert De Niro,Frances Conroy
Whiplash,2014.0,106 min,"Drama, Music",8.5,Miles Teller,J.K. Simmons,Paul Reiser
The Intouchables,2011.0,112 min,"Biography, Comedy, Drama",8.5,Éric Toledano,François Cluzet,Anne Le Ny
The Prestige,2006.0,130 min,"Drama, Mystery, Sci-Fi",8.5,Christian Bale,Hugh Jackman,Michael Caine
The Departed,2006.0,151 min,"Crime, Drama, Thriller",8.5,Leonardo DiCaprio,Matt Damon,Mark Wahlberg
The Pianist,2002.0,150 min,"Biography, Drama, Music",8.5,Adrien Brody,Thomas Kretschmann,Emilia Fox
